question_id,question_th,question_en,question_translation_time,evidence_th,evidence_en,evidence_translation_time,difficulty,generated_sql,gold_sql,generation_time_formatted,generation_time_seconds
0,อัตราฟรีที่มีสิทธิ์สูงสุดสำหรับนักเรียนระดับอนุบาลถึงมัธยมศึกษา (K-12) ในโรงเรียนใน Alameda County คือเท่าใด,What is the maximum eligible free rate for students in grades K-12 attending schools in Alameda County?,4.029972314834595,อัตราฟรีที่มีสิทธิ์สำหรับระดับอนุบาลถึงมัธยมศึกษา (K-12) = `จำนวนมื้ออาหารฟรี (K-12)` / `การลงทะเบียน (K-12)`,Eligibility rate for free meals for kindergarten to secondary education (K-12) = `Number of free meals (K-12)` / `Enrollment (K-12)`,6.724096059799194,simple,SELECT MAX(`Percent (%) Eligible Free (K-12)`) FROM frpm WHERE `County Name` = 'Alameda';,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,13.94 วินาที,13.94263219833374
1,โปรดระบุอัตราค่าเรียนฟรีที่มีสิทธิ์ต่ำสุดสามรายการสำหรับนักเรียนอายุ 5-17 ปีในโรงเรียนต่อเนื่อง,Please specify the three lowest-priced free tuition rates eligible for students aged 5-17 in continuous learning institutions.,5.1072998046875,ราคาฟรีที่มีสิทธิ์สำหรับนักเรียนอายุ 5-17 ปี = `นับมื้ออาหารฟรี (อายุ 5-17 ปี)` / `การลงทะเบียน (อายุ 5-17 ปี)`,Free price eligible for students aged 5-17 = `Number of free meals (ages 5-17)` / `Registrations (ages 5-17)`,6.514894723892212,moderate,SELECT FRPM_Count_Ages_5_17 FROM frpm WHERE District_Type = 'Continuous Learning' ORDER BY FRPM_Count_Ages_5_17 ASC LIMIT 3;,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,16.93 วินาที,16.928619861602783
2,โปรดระบุรหัสไปรษณีย์ของโรงเรียนเหมาลำทั้งหมดในสำนักงานการศึกษาเทศมณฑลเฟรสโน,Please provide the postal codes for all contracted schools within the Fresno County Education Office.,3.9744796752929688,โรงเรียนกฎบัตรหมายถึง `โรงเรียนกฎบัตร (ใช่/ไม่มี)` = 1 ในตาราง fprm,Chartered school means `Chartered school (Yes/No)` = 1 in the fprm table.,3.9812381267547607,simple,SELECT Zip FROM schools WHERE County = 'Fresno' AND Charter = 'Yes';,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,12.70 วินาที,12.700344800949097
3,ที่อยู่ทางไปรษณีย์แบบไม่ย่อของโรงเรียนที่มีจำนวน FRPM สูงสุดสำหรับนักเรียนระดับอนุบาลถึงมัธยมศึกษา (K-12) คืออะไร,What is the full postal address of schools with the highest number of FRPM allocations for students from early childhood education to secondary education (K-12)?,6.424434185028076,,,-1,simple,"SELECT School, City, State, Zip FROM frpm ORDER BY FRPM Count (K-12) DESC LIMIT 10;",SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,14.09 วินาที,14.093031883239746
4,โปรดระบุหมายเลขโทรศัพท์ของโรงเรียนที่ได้รับทุนสนับสนุนการเช่าเหมาลำโดยตรงที่เปิดหลังวันที่ 1/1/2000,Please provide the telephone number of the school directly receiving the lease rental subsidy that commenced operations after 1/1/2000.,5.612595081329346,โรงเรียนกฎบัตรหมายถึง `โรงเรียนกฎบัตร (ใช่/ไม่มี)` = 1 ในรอบต่อนาที,Charter school indicates `Charter school (Yes/No)` = 1 per minute.,3.2875821590423584,moderate,SELECT Phone FROM schools WHERE Charter = 'Y' AND OpenDate > '2000-01-01';,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',14.46 วินาที,14.45731782913208
5,มีโรงเรียนกี่แห่งที่มีคะแนนเฉลี่ยในวิชาคณิตศาสตร์มากกว่า 400 ในการทดสอบ SAT ที่เป็นระบบเสมือนจริงโดยเฉพาะ,How many schools have an average math score exceeding 400 on a simulated SAT assessment?,4.375862121582031,เสมือนโดยเฉพาะหมายถึง Virtual = 'F',Virtual = 'F' specifically means,1.8969199657440186,simple,SELECT count(*) FROM satscores WHERE AvgScrMath > 400;,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,12.39 วินาที,12.386955976486206
6,ในบรรดาโรงเรียนที่มีผู้สอบ SAT มากกว่า 500 คน โปรดระบุรายชื่อโรงเรียนที่เป็นโรงเรียนแม่เหล็กหรือเสนอโปรแกรมแม่เหล็ก,"Among schools with over 500 SAT test-takers, identify the schools that are magnet schools or offer magnet programs.",5.31471586227417,โรงเรียนแม่เหล็กหรือเสนอโปรแกรมแม่เหล็กหมายความว่า Magnet = 1,Schools designated as “Magnet” or offering Magnet programs mean Magnet = 1,3.1272189617156982,simple,SELECT DISTINCT s.School FROM satscores s JOIN schools s ON s.cds = s.CDSCode WHERE s.NumTstTakr > 500 AND s.Charter = 1;,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,16.03 วินาที,16.028225898742676
7,หมายเลขโทรศัพท์ของโรงเรียนที่มีผู้สอบ SAT มากกว่า 1500 มีจำนวนมากที่สุดคือหมายเลขโทรศัพท์อะไร?,What is the phone number of the school with the highest number of students scoring above 1500 on the SAT?,5.20176100730896,,,-1,simple,SELECT T1.Phone FROM satscores AS T1 JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1;,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,16.20 วินาที,16.19906997680664
8,จำนวนผู้สอบ SAT ของโรงเรียนที่มีจำนวน FRPM สูงสุดสำหรับนักเรียนระดับอนุบาลถึงมัธยมศึกษา (K-12) คือเท่าใด,What is the number of students taking the SAT in schools with the highest FRPM count for K-12 students?,5.084542989730835,,,-1,simple,SELECT T1.NumTstTakr FROM satscores AS T1 JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T2.FRPM Count (K-12) DESC LIMIT 1;,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),17.39 วินาที,17.387542963027954
9,ในบรรดาโรงเรียนที่มีคะแนนเฉลี่ยวิชาคณิตศาสตร์มากกว่า 560 ในการสอบ SAT มีโรงเรียนกี่แห่งที่ได้รับทุนสนับสนุนโดยตรง,"Among schools with an average mathematics score exceeding 560 on the SAT, how many received direct funding?",4.843662977218628,,,-1,simple,SELECT count(*) FROM satscores WHERE AvgScrMath > 560 AND FundingType = 'Direct';,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',12.63 วินาที,12.63133192062378
10,สำหรับโรงเรียนที่มีคะแนนเฉลี่ยสูงสุดในด้านการอ่านในการทดสอบ SAT FRPM ของนักเรียนอายุ 5-17 ปีนับเท่าใด,"For schools with the highest average score in the reading section of the SAT FRPM test for students aged 5-17, how many?",5.75822114944458,,,-1,simple,SELECT COUNT(*) FROM satscores WHERE rtype = 'FRPM' AND cds IN (SELECT cds FROM satscores WHERE rtype = 'FRPM' ORDER BY AvgScrRead DESC LIMIT 1);,SELECT T2.`FRPM Count (Ages 5-17)` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrRead DESC LIMIT 1,16.14 วินาที,16.144275903701782
11,โปรดระบุรหัสของโรงเรียนที่มีจำนวนการลงทะเบียนมากกว่า 500,Please provide the school code for schools with a registration count exceeding 500.,4.08330225944519,การลงทะเบียนทั้งหมดสามารถแสดงด้วย `การลงทะเบียน (K-12)` + `การลงทะเบียน (อายุ 5-17)`,All registrations can be represented as `Registrations (K-12)` + `Registrations (ages 5-17)`.,4.8060622215271,simple,SELECT School Code FROM frpm WHERE `Enrollment (K-12)` > 500;,SELECT T2.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,13.74 วินาที,13.736369132995605
12,ในบรรดาโรงเรียนที่มีอัตราความเป็นเลิศ SAT มากกว่า 0.3 อัตราฟรีที่มีสิทธิ์สูงสุดสำหรับนักเรียนอายุ 5-17 ปีคือเท่าใด,"Among schools with a SAT proficiency rate exceeding 0.3, what is the maximum allowable free student entitlement rate for students aged 5-17?",6.057642936706543,อัตราความเป็นเลิศ = NumGE1500 / NumTstTakr; ราคาฟรีที่มีสิทธิ์สำหรับนักเรียนอายุ 5-17 ปี = `นับมื้ออาหารฟรี (อายุ 5-17 ปี)` / `การลงทะเบียน (อายุ 5-17 ปี)`,Excellence Rate = NumGE1500 / NumTstTakr; Entitled Free Meal Price for Students Aged 5-17 = `Count of Free Meals (Aged 5-17)` / `Enrollment (Aged 5-17)`,9.507618188858032,moderate,SELECT MAX(`Percent (%) Eligible Free (Ages 5-17)`) FROM frpm WHERE `CDSCode` IN (SELECT `cds` FROM satscores WHERE `AvgScrWrite` / `NumTstTakr` > 0.3);,SELECT MAX(CAST(T1.`Free Meal Count (Ages 5-17)` AS REAL) / T1.`Enrollment (Ages 5-17)`) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr > 0.3,18.90 วินาที,18.904284954071045
13,โปรดระบุหมายเลขโทรศัพท์ของโรงเรียนที่มีอัตราความเป็นเลิศ SAT 3 อันดับแรก,Please provide the telephone number of the schools with the top three SAT performance scores.,3.950089931488037,อัตราความเป็นเลิศ = NumGE1500 / NumTstTakr,Excellence Rate = NumGE1500 / NumTstTakr,3.2802960872650146,simple,SELECT Phone FROM satscores ORDER BY AvgScrRead DESC LIMIT 3;,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr DESC LIMIT 3,12.28 วินาที,12.280606031417847
14,รายชื่อโรงเรียนห้าอันดับแรก ตามลำดับจากมากไปน้อยจากสูงสุดไปต่ำสุด จำนวนผู้ลงทะเบียนเรียนมากที่สุด (อายุ 5-17 ปี) โปรดระบุหมายเลขประจำตัวโรงเรียน NCES,Top five schools ranked by descending order of registered student count (ages 5-17). Please provide the NCES school identifier.,5.884902238845825,,,-1,simple,SELECT NCESSchool FROM frpm ORDER BY `Enrollment (Ages 5-17)` DESC LIMIT 5;,SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,13.81 วินาที,13.811824798583984
15,เขตแอคทีฟใดที่มีคะแนนเฉลี่ยสูงสุดในเรดดิ้ง?,Which active region has the highest average score in reading?,3.267439842224121,,,-1,simple,SELECT cname FROM satscores WHERE rtype = 'C' ORDER BY AvgScrRead DESC LIMIT 1;,SELECT T1.District FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Active' ORDER BY T2.AvgScrRead DESC LIMIT 1,13.18 วินาที,13.176487922668457
16,มีโรงเรียนกี่แห่งใน Alameda ที่รวมกันแล้วมีจำนวนผู้สอบน้อยกว่า 100 คน,How many schools in Alameda have a combined total of fewer than 100 examinees?,4.431131839752197,,,-1,simple,SELECT COUNT(T1.CDSCode) FROM satscores AS T1 JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Alameda' AND T1.NumTstTakr < 100;,SELECT COUNT(T1.CDSCode) FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Merged' AND T2.NumTstTakr < 100 AND T1.County = 'Lake',19.00 วินาที,19.004738092422485
17,จัดอันดับโรงเรียนตามคะแนนเฉลี่ยในการเขียน โดยที่คะแนนมากกว่า 499 โดยแสดงหมายเลขกฎบัตรของโรงเรียน,"Rank schools based on average writing scores, displaying the school's registration number for scores exceeding 499.",4.938769102096558,หมายเลขกฎบัตรที่ถูกต้องหมายความว่าหมายเลขดังกล่าวไม่เป็นโมฆะ,A valid instrument number means the number is not void.,2.4519381523132324,simple,SELECT sname FROM satscores WHERE AvgScrWrite > 499;,"SELECT CharterNum, AvgScrWrite, RANK() OVER (ORDER BY AvgScrWrite DESC) AS WritingScoreRank FROM schools AS T1  INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T2.AvgScrWrite > 499 AND CharterNum is not null",13.88 วินาที,13.883540153503418
18,มีโรงเรียนกี่แห่งในเฟรสโน (ได้รับทุนสนับสนุนโดยตรง) ที่มีผู้สอบไม่เกิน 250 คน,How many schools in Fresno (receiving direct funding) have fewer than 250 test-takers?,4.9937498569488525,,,-1,simple,SELECT count(*) FROM satscores WHERE cname = 'Fresno' AND NumTstTakr < 250 AND rtype = 'D';,SELECT COUNT(T1.CDSCode) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`County Name` = 'Fresno' AND T2.NumTstTakr <= 250,17.84 วินาที,17.843870162963867
19,หมายเลขโทรศัพท์ของโรงเรียนที่มีคะแนนเฉลี่ยวิชาคณิตศาสตร์สูงสุดคืออะไร?,What is the telephone number of the school with the highest average mathematics score?,4.598103046417236,,,-1,simple,SELECT Phone FROM satscores ORDER BY AvgScrMath DESC LIMIT 1;,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY T2.AvgScrMath DESC LIMIT 1,16.56 วินาที,16.560704946517944
20,มีโรงเรียนกี่แห่งใน Amador ซึ่งเกรดต่ำคือ 9 และเกรดสูงคือ 12,How many schools are in Amador with grade levels ranging from 9 to 12?,5.1009321212768555,,,-1,simple,SELECT count(*) FROM frpm WHERE `County Name` = 'Amador' AND `High Grade` = 12 AND `Low Grade` = 9;,SELECT COUNT(T1.`School Name`) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Amador' AND T1.`Low Grade` = 9 AND T1.`High Grade` = 12,18.33 วินาที,18.334868907928467
21,ในลอสแอนเจลิส มีโรงเรียนกี่แห่งที่มีอาหารฟรีมากกว่า 500 มื้อ แต่มีอาหารฟรีหรือลดราคาน้อยกว่า 700 มื้อสำหรับ K-12,"In Los Angeles, how many schools have a free meal count exceeding 500 but fewer than 700 free or reduced-price meals for K-12 students?",8.593714237213135,,,-1,simple,SELECT count(*) FROM frpm WHERE County Name = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `Free Meal Count (K-12)` < 700;,SELECT COUNT(CDSCode) FROM frpm WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `FRPM Count (K-12)`< 700,21.13 วินาที,21.125492095947266
22,โรงเรียนใดใน คอนทรา คอสต้า มีผู้สอบจำนวนมากที่สุด?,Which school in Contra Costa has the highest number of exam records?,4.448925018310547,,,-1,simple,SELECT T1.School FROM satscores AS T1 JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.County = 'Contra Costa' ORDER BY T1.NumTstTakr DESC LIMIT 1;,SELECT sname FROM satscores WHERE cname = 'Contra Costa' AND sname IS NOT NULL ORDER BY NumTstTakr DESC LIMIT 1,20.54 วินาที,20.539695024490356
23,รายชื่อโรงเรียนที่มีความแตกต่างมากกว่า 30 ในการลงทะเบียนระหว่าง K-12 และอายุ 5-17 ปี โปรดระบุที่อยู่เต็มของโรงเรียนด้วย,List of schools with a difference greater than 30 in registrations between K-12 and the 5-17 age group. Please provide the full address of each school.,7.890833139419556,ความแตกต่างในการลงทะเบียน = `การลงทะเบียน (K-12)` - `การลงทะเบียน (อายุ 5-17 ปี)`,Difference in registration = `Registration (K-12)` - `Registration (ages 5-17)`,4.376314163208008,moderate,"SELECT T1.Street, T1.City, T1.Zip, T1.State FROM schools AS T1 JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE (T2.`Enrollment (K-12)` - T2.`Enrollment (Ages 5-17)`) > 30;","SELECT T1.School, T1.Street FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` - T2.`Enrollment (Ages 5-17)` > 30",24.50 วินาที,24.502660989761353
24,"ระบุชื่อโรงเรียนที่มีเปอร์เซ็นต์สิทธิ์รับอาหารฟรีในระดับอนุบาลถึงมัธยมศึกษาตอนปลาย (K-12) มากกว่า 0.1 และผู้สอบที่มีคะแนนสอบมากกว่าหรือเท่ากับ 1,500?","Identify schools with a free meal entitlement percentage within the K-12 range (preschool through upper secondary) exceeding 0.1, and examiners with exam scores of 1,500 or greater.",8.61405897140503,เปอร์เซ็นต์ที่มีสิทธิ์รับอาหารฟรี = จำนวนมื้ออาหารฟรี (K-12) / ทั้งหมด (การลงทะเบียน (K-12),Percentage eligible for free meals = Number of free meals (K-12) / Total (K-12 registrations),4.509258985519409,moderate,"SELECT T1.School Name FROM frpm AS T1 JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.""Percent (%) Eligible Free (K-12)"" > 0.1 AND T2.NumGE1500 >= 1;",SELECT T2.`School Name` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE CAST(T2.`Free Meal Count (K-12)` AS REAL) / T2.`Enrollment (K-12)` > 0.1 AND T1.NumGE1500 > 0,21.43 วินาที,21.43146586418152
25,ชื่อโรงเรียนในริเวอร์ไซด์ที่คะแนนเฉลี่ยคณิตศาสตร์สำหรับ SAT มากกว่า 400 โรงเรียนเหล่านี้มีทุนสนับสนุนประเภทใด?,What types of funding do riverside schools with an average SAT math score exceeding 400 receive?,4.80600380897522,ค่าเฉลี่ยของคณิตศาสตร์เฉลี่ย = ผลรวม (คะแนนคณิตศาสตร์เฉลี่ย) / การนับ (โรงเรียน),Average of mathematics scores = Sum (mathematics scores) / Count (schools),3.1754207611083984,moderate,SELECT DISTINCT T1.Charter Funding Type FROM frpm AS T1 JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T2.AvgScrMath > 400 AND T1.County Name = 'Riverside';,"SELECT T1.sname, T2.`Charter Funding Type` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING CAST(SUM(T1.AvgScrMath) AS REAL) / COUNT(T1.cds) > 400",18.90 วินาที,18.896288871765137
26,ระบุชื่อและที่อยู่การสื่อสารแบบเต็มของโรงเรียนมัธยมในมอนเทอเรย์ซึ่งมีอาหารฟรีหรือลดราคามากกว่า 800 รายการสำหรับเด็กอายุ 15-17 ปี,Identify the full communication address of secondary schools in Monterrey that provide free or reduced-price meals for more than 800 students aged 15-17.,6.995625019073486,ที่อยู่สำหรับการสื่อสารแบบเต็มควรระบุถนน เมือง รัฐ และรหัสไปรษณีย์ หากมี,"Full mailing address should include street, city, state, and postal code, if applicable.",3.4219419956207275,moderate,"SELECT T1.MailStreet, T1.MailCity, T1.MailState, T1.MailZip FROM schools AS T1 JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.MailState = 'CA' AND T1.MailCity = 'Monterrey' AND T2.FRPM Count (Ages 5-17) > 800 AND T1.School > 'Secondary';","SELECT T1.`School Name`, T2.Street, T2.City, T2.State, T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Monterey' AND T1.`Free Meal Count (Ages 5-17)` > 800 AND T1.`School Type` = 'High Schools (Public)'",26.53 วินาที,26.530964851379395
